SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate
"51002","75419","1","2025","Normal","Star Wars","Licensed","Ultimate Collector Series","Death Star","X","75419-1","999.99","899.99","1299.99","999.99","05/09/2025 00:00:00","04/02/2026 00:00:00","9023","40","sw0156,sw0532,sw1201,sw1202,sw1249,sw1263,sw1326,sw1373,sw1375,sw1453,sw1454,sw1455,sw1456,sw1457,sw1458,sw1459,sw1460,sw1461,sw1462,sw1463,sw1464,sw1465,sw1466,sw1467,sw1468,sw1469,sw1470,sw1471,sw1472,sw1473,sw1474,sw1475,sw1476,sw1477,sw1478,sw1479,sw1480,sw1481,sw1482,","Box","LEGO exclusive","6529122","6529121","5702017824185","673419407397","48","52.3","38.3","","79","70","27","18","","1686","2328","42","21","X","0","980.3300","","César Soares,","01/10/2025 00:00:00","31/12/2028 00:00:00"
"26725","75192","1","2017","Normal","Star Wars","Licensed","Ultimate Collector Series","Millennium Falcon","X","75192-1","849.99","734.99","1049.99","849.99","10/01/2018 00:00:00","04/02/2026 00:00:00","7541","8","sw0532,sw0661,sw0676,sw0677,sw0700,sw0841,sw0878,sw0879,","Box","LEGO exclusive","6175771","6175770","5702015869935","673419267656","53.3","46","38.5","","21","84","56","16","","23836","10417","15","61","X","39","644.7600","522.9000","Hans Burkhard Schlömer,","01/10/2017 00:00:00","31/12/2026 00:00:00"
"31235","75313","1","2021","Normal","Star Wars","Licensed","Ultimate Collector Series","AT-AT","X","75313-1","849.99","734.99","1049.99","849.99","05/12/2021 00:00:00","23/11/2024 00:00:00","6785","9","sw1104,sw1139,sw1175,sw1176,sw1177,sw1178,sw1179,sw1180,sw1181,","Box","LEGO exclusive","6333003","6333002","5702016913866","673419340618","49.9","49.9","37.9","","","","","18","","9908","6594","8","49","X","21","919.1700","816.6000","Henrik Andersen,","26/11/2021 00:00:00","31/12/2024 00:00:00"
"32401","75331","1","2022","Normal","Star Wars","Licensed","Ultimate Collector Series","The Razor Crest","X","75331-1","599.99","519.99","759.99","599.99","27/09/2022 00:00:00","28/11/2025 00:00:00","6187","4","sw1113,sw1242,sw1243,sw1244,","Box","LEGO exclusive","6378936","6378869","5702017155579","673419357517","52.3","48","23.8","","","","","18","","8101","4946","14","15","X","10","548.4500","457.6100","César Soares,","03/10/2022 00:00:00","31/12/2025 00:00:00"
"47231","75367","1","2023","Normal","Star Wars","Licensed","Ultimate Collector Series","Venator-class Republic Attack Cruiser","X","75367-1","649.99","559.99","849.99","649.99","13/09/2023 00:00:00","04/02/2026 00:00:00","5374","2","sw1315,sw1316,","Box","LEGO exclusive","6427714","6427713","5702017421476","673419377065","","","","","","","","18","","5567","4936","13","12","X","10","455.2300","413.3300","Hans Burkhard Schlömer,","01/10/2023 00:00:00","31/12/2026 00:00:00"
"5860","10179","1","2007","Normal","Star Wars","Licensed","Ultimate Collector Series","Ultimate Collector's Millennium Falcon","X","10179-1","499.99","342.49","","","24/10/2007 00:00:00","04/05/2010 00:00:00","5197","5","sw0011a,sw0174,sw0175,sw0176,sw0179,","Box","LEGO exclusive","4566078","4495738","5702014499874","673419079419","65.2","48","19.2","","","","","16","","4893","10456","1","5","X","68","397.1100","721.7100","","01/10/2007 00:00:00","31/12/2009 00:00:00"
"28594","75252","1","2019","Normal","Star Wars","Licensed","Ultimate Collector Series","Imperial Star Destroyer","X","75252-1","699.99","614.99","849.99","699.99","01/10/2019 00:00:00","20/10/2022 00:00:00","4784","2","sw1043,sw1044,","Box","LEGO exclusive","6251819","6251818","5702016371116","673419304245","53.3","46","38.5","12.42","","","","16","","10056","8159","10","16","X","24","1051.3500","751.5900","Henrik Andersen,","01/10/2019 00:00:00","31/12/2022 00:00:00"
"25864","75159","1","2016","Normal","Star Wars","Licensed","Ultimate Collector Series","Death Star","X","75159-1","499.99","409.99","599.99","487.39","01/10/2016 00:00:00","22/11/2020 00:00:00","4016","27","sw0156,sw0521b,sw0527a,sw0529,sw0532,sw0552,sw0585,sw0634a,sw0635,sw0636b,sw0700,sw0768,sw0769,sw0770,sw0771,sw0772,sw0773,sw0774,sw0775,sw0776,sw0777,sw0778,sw0779,","Box","LEGO exclusive","6136731","6136729","5702015593946","","58.5","49","19","","","","","14","","7580","8613","8","47","X","17","1084.4600","756.4100","Niels M. Frederiksen,","01/10/2016 00:00:00","31/12/2020 00:00:00"
"50268","75397","1","2024","Normal","Star Wars","Licensed","Ultimate Collector Series","Jabba's Sail Barge","X","75397-1","499.99","429.99","649.99","499.99","18/09/2024 00:00:00","04/02/2026 00:00:00","3942","11","sw0486,sw1196,sw1201,sw1383,sw1384,sw1385,sw1386,sw1387,sw1388,sw1389,sw1390,","Box","LEGO exclusive","6471488","6471487","5702017590202","673419390781","","","","","","","","18","","4630","3645","9","14","X","4","393.0400","331.3600","César Soares,","03/10/2024 00:00:00","31/12/2026 00:00:00"
"6522","10188","1","2008","Normal","Star Wars","Licensed","Ultimate Collector Series","Death Star","X","10188-1","399.99","274.99","499.99","419.99","21/06/2008 00:00:00","19/12/2015 00:00:00","3803","24","sw0011a,sw0040b,sw0156,sw0157,sw0161a,sw0175,sw0176,sw0179,sw0188,sw0204,sw0205,sw0206,sw0207,sw0208,sw0209,sw0210,sw0211,sw0212,sw0213,sw0215,sw0217,","Box","LEGO exclusive","4566085","4513386","","673419130578","58.801","50.1904","17.6022","8.31","","","","12","","16048","9288","3","9","X","143","777.8700","564.5200","Bas Brederode,Bjarke Lykke Madsen,","01/09/2008 00:00:00","31/12/2010 00:00:00"
"4799","10143","1","2005","Normal","Star Wars","Licensed","Ultimate Collector Series","Death Star II","X","10143-1","269.99","249.99","","","24/10/2007 00:00:00","10/04/2009 00:00:00","3449","","","Box","LEGO exclusive","4249925","4249925","","673419057271","59.3","51","21.2","","","","","16","","3203","9214","1","4","X","26","2929.3200","966.9900","","01/09/2005 00:00:00","31/12/2007 00:00:00"
"23529","75059","1","2014","Normal","Star Wars","Licensed","Ultimate Collector Series","Sandcrawler","X","75059-1","299.99","249.99","349.99","299.99","04/05/2014 00:00:00","21/11/2016 00:00:00","3296","14","sw0373,sw0527,sw0550,sw0551,sw0555,sw0559,sw0560,sw0561,sw0562,sw0587,sw0589,sw0590,","Box","LEGO exclusive","6061446","6061445","5702015123815","","58.1914","48.006","16.9926","4.48","","","","14","","12004","11377","7","51","X","38","543.5300","395.1400","","01/05/2014 00:00:00","31/12/2016 00:00:00"
"31231","75309","1","2021","Normal","Star Wars","Licensed","Ultimate Collector Series","Republic Gunship","X","75309-1","399.99","344.99","499.99","399.99","02/08/2021 00:00:00","01/03/2024 00:00:00","3292","2","sw1146,sw1165,","Box","LEGO exclusive","6333016","6333015","5702016914573","673419340144","58.2","48","17","","33","68","74","18","","9429","5039","9","27","X","16","417.5200","329.3100","Hans Burkhard Schlömer,","01/08/2021 00:00:00","31/12/2023 00:00:00"
"30732","75290","1","2020","Normal","Star Wars","Licensed","Master Builder Series","Mos Eisley Cantina","X","75290-1","399.99","344.99","499.99","399.99","17/09/2020 00:00:00","15/10/2024 00:00:00","3187","21","sw0532,sw0554,sw0700,sw0771,sw0778,sw0893,sw0897,sw0898,sw1046,sw1085,sw1124,sw1125,sw1126,sw1127,sw1128,sw1129,sw1130,sw1131,sw1132,","Box","LEGO exclusive","6294188","6294187","5702016663495","673419321419","58.2","48","12.4","","19","52","58","18","","17422","6959","7","73","X","23","411.0500","354.1400","César Soares,","01/10/2020 00:00:00","31/12/2024 00:00:00"
"8733","10221","1","2011","Normal","Star Wars","Licensed","Ultimate Collector Series","Super Star Destroyer","X","10221-1","399.99","349.99","499.99","","27/08/2011 00:00:00","03/06/2014 00:00:00","3152","5","sw0277,sw0280,sw0350,sw0351,sw0352,","Box","LEGO exclusive","4593091","4593091","","673419145701","58.5","49","19","","","","","16","","8209","12963","1","29","X","43","1261.7500","698.1600","","01/09/2011 00:00:00","31/12/2014 00:00:00"
"32","10030","1","2002","Normal","Star Wars","Licensed","Ultimate Collector Series","Imperial Star Destroyer","X","10030-1","269.99","249.99","","","24/10/2007 00:00:00","26/11/2008 00:00:00","3096","","","Box","LEGO exclusive","4174165","4174165","","673419014472","59.3","51","21.2","","","","","16","","4522","8114","1","2","X","165","1173.7500","566.6500","","06/12/2002 00:00:00","31/12/2007 00:00:00"
"51017","75409","1","2025","Normal","Star Wars","Licensed","Ultimate Collector Series","Jango Fett's Starship","X","75409-1","299.99","259.99","379.99","299.99","16/04/2025 00:00:00","04/02/2026 00:00:00","2970","2","sw1406,sw1407,","Box","LEGO exclusive","6529120","6529119","5702017824178","673419407380","37.8","55.5","13.2","","","","","18","","4662","3024","9","17","X","5","251.4800","228.0200","Jackson Hughes,","01/05/2025 00:00:00","31/12/2027 00:00:00"
"27833","75222","1","2018","Normal","Star Wars","Licensed","Master Builder Series","Betrayal at Cloud City","X","75222-1","349.99","299.99","399.99","341.17","02/10/2018 00:00:00","23/11/2019 00:00:00","2812","20","sw0527a,sw0532,sw0585,sw0636b,sw0700,sw0762,sw0823,sw0831a,sw0958,sw0969,sw0970,sw0971,sw0972,sw0973,sw0974,sw0975,sw0976,sw0977,","Box","LEGO exclusive","6212823","6212822","5702016111200","","58.2","48","12.4","","","","","14","","4970","6969","10","59","X","14","929.1200","651.9900","Hans Burkhard Schlömer,","01/10/2018 00:00:00","31/12/2019 00:00:00"
